AL, 07, 2019080918, 07, BEST, -18, 130N,  340W,  25, 1008, WV,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
AL, 07, 2019081000, 07, BEST, -12, 131N,  344W,  25, 1008, DB,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
AL, 07, 2019081006, 07, BEST,  -6, 132N,  349W,  30, 1007, DB,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
AL, 07, 2019081012, 07, BEST,   0, 134N,  355W,  30, 1006, TD,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
AL, 07, 2019081018, 07, BEST,   6, 134N,  363W,  30, 1006, TD,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
AL, 07, 2019081100, 07, BEST,  12, 134N,  372W,  35, 1003, TS,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
AL, 07, 2019081106, 07, BEST,  18, 133N,  380W,  40, 1001, TS,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
AL, 07, 2019081112, 07, BEST,  24, 132N,  388W,  50,  999, TS,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
AL, 07, 2019081118, 07, BEST,  30, 132N,  397W,  60,  993, TS,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
AL, 07, 2019081200, 07, BEST,  36, 132N,  404W,  75,  977, HU,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
AL, 07, 2019081206, 07, BEST,  42, 131N,  411W,  90,  959, HU,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
AL, 07, 2019081212, 07, BEST,  48, 131N,  419W, 105,  948, HU,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
AL, 07, 2019081218, 07, BEST,  54, 130N,  427W, 130,  926, HU,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
AL, 07, 2019081300, 07, BEST,  60, 130N,  434W, 135,  922, HU,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
AL, 07, 2019081306, 07, BEST,  66, 130N,  443W, 135,  921, HU,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
AL, 07, 2019081312, 07, BEST,  72, 129N,  453W, 135,  920, HU,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
AL, 07, 2019081318, 07, BEST,  78, 129N,  463W, 135,  919, HU,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
AL, 07, 2019081400, 07, BEST,  84, 128N,  471W, 135,  918, HU,   0, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,    FERNAND,  ,
